Potential_Customer,C_ID,Cust_Last_Purchase,Pur_3_years,Pur_5_years,Pur_3_years_Indirect,Pur_5_years_Indirect,Pur_latest,Pur_3_years_Avg,Pur_5_years_Avg,Pur_3_years_Avg_Indirect,InAct_Last,InAct_First,Ad_Res_1_year,Ad_Res_3_Year,Ad_Res_5_Year,Ad_Res_Ind_1_Year,Ad_Res_Ind_3_Year,Ad_Res_Ind_5_Year,Status_Cust,Status_Latest_Ad,Age,Gender,Cust_Prop,Cust_Ann_Income
1,9946,$5.00 ,2,17,2,4,$0.00 ,$7.50 ,$7.76 ,$7.50 ,14,110,32,48,73,3,12,16,A,0,71,F,H,"$65,957.00 "
1,87939,$30.00 ,1,7,0,3,$25.00 ,$25.00 ,$13.00 ,,18,75,13,35,55,6,6,22,A,1,7,M,U,$0.00 
0,88003,,5,12,3,5,$15.00 ,$15.00 ,$11.25 ,$14.67 ,19,57,14,35,53,6,17,22,S,1,79,F,U,$0.00 
1,188721,$20.00 ,1,11,0,3,$20.00 ,$20.00 ,$12.45 ,,5,113,17,38,71,8,8,33,A,0,73,F,U,"$76,293.00 "
1,88056,$5.00 ,3,15,2,7,$3.00 ,$4.33 ,$3.80 ,$4.00 ,17,118,13,28,63,6,12,24,S,1,68,F,H,"$113,663.00 "
1,88119,$10.00 ,4,15,4,12,$10.00 ,$7.75 ,$7.00 ,$7.75 ,16,120,14,34,72,6,16,33,A,1,67,F,H,"$62,230.00 "
0,88113,,3,12,3,8,$18.00 ,$18.00 ,$14.58 ,$18.00 ,24,111,11,32,63,6,17,27,A,1,78,M,H,"$62,230.00 "
0,88092,,1,3,1,3,$20.00 ,$20.00 ,$18.33 ,$20.00 ,20,58,10,23,36,4,10,14,A,0,48,M,H,"$62,230.00 "
1,88153,$13.00 ,4,16,3,9,$5.00 ,$7.75 ,$8.06 ,$7.00 ,24,122,6,26,60,3,14,27,S,1,49,F,H,"$56,828.00 "
0,88151,,4,14,4,14,$16.00 ,$14.50 ,$11.57 ,$14.50 ,16,104,14,34,72,6,16,30,S,1,63,M,H,"$56,828.00 "
0,88137,,3,5,0,1,$15.00 ,$12.67 ,$10.60 ,,19,40,11,30,32,6,6,13,S,1,73,M,H,"$56,828.00 "
0,88136,,8,11,4,5,$12.00 ,$10.50 ,$9.45 ,$10.50 ,17,41,13,34,38,6,17,16,S,1,71,F,H,"$56,828.00 "
0,88115,,4,27,3,13,$5.00 ,$4.50 ,$3.78 ,$4.33 ,16,123,12,32,74,5,15,29,S,1,37,F,H,"$56,828.00 "
1,8669,$10.00 ,3,18,1,8,$10.00 ,$10.00 ,$8.39 ,$10.00 ,18,128,15,35,81,7,16,33,S,1,45,F,H,"$87,665.00 "
0,6875,,4,18,4,10,$25.00 ,$26.25 ,$21.61 ,$26.25 ,17,128,15,34,84,6,16,33,A,1,42,F,H,"$87,665.00 "
0,88233,,1,19,1,16,$10.00 ,$10.00 ,$8.32 ,$10.00 ,15,125,9,24,70,3,10,29,E,1,17,F,H,"$87,665.00 "
1,88213,$20.00 ,1,4,0,2,$15.00 ,$15.00 ,$16.25 ,,26,65,10,28,46,4,4,16,A,0,76,M,H,"$87,665.00 "
0,88198,,3,3,0,0,$10.00 ,$13.33 ,$13.33 ,,16,28,13,27,24,6,6,11,A,1,40,F,H,"$87,665.00 "
1,88189,$25.00 ,1,1,1,1,$15.00 ,$15.00 ,$15.00 ,$15.00 ,17,17,10,15,13,4,6,5,F,0,80,M,H,"$87,665.00 "
0,88363,,4,5,3,3,$25.00 ,$21.25 ,$22.00 ,$20.00 ,17,33,13,32,31,6,15,13,A,0,,M,U,"$100,910.00 "
0,325,,2,10,2,6,$35.00 ,$32.50 ,$20.90 ,$32.50 ,15,87,24,41,58,10,19,26,S,1,37,F,H,"$165,543.00 "
0,88386,,5,10,3,5,$14.00 ,$14.80 ,$12.80 ,$14.67 ,22,77,10,30,52,5,15,20,A,1,77,F,U,$0.00 
0,88410,,1,10,0,4,$20.00 ,$20.00 ,$14.00 ,,18,110,13,33,66,6,6,29,A,1,62,F,H,"$73,899.00 "
